StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Intro,Control_noanimals_1,Control_oneanimal_2,Control_twoanimals_3,not_and_cb_001,Control_twoanimals_4,not_or_ed_001,Control_onlycat_5,not_and_dc_002,Control_twoanimals_6,not_and_ed_003,Control_hascatdog_7,not_or_cb_002,Control_onlycat_9,not_or_cb_102,not_or_cd_003,not_or_ed_101,not_and_cb_101,not_or_cd_103,Control_twoanimals_1,not_and_ed_103,Control_noanimals_10,not_and_dc_102
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Letter of Information

Title of study: Language Understanding, Comprehension, and Learning in Adults

Investigator: Masoud Jasbi, Ph.D, Assistant Professor of Linguistics, UC Davis

Introduction and Purpose
You are being invited to participate in a research study. If you agree to be in this research, you will see some pictures/videos or read some text and answer multiple-choice or multiple-answer questions. Alternatively, you may be asked to type in your answer or complete a sentence. We will not collect any information from you that would identify you or connect you to the data collected. The anonymous data collected will be stored on an online platform and will be shared with other researchers to increase scientific openness and transparency. There are no significant risks or benefits associated with this study.

Compensation
We appreciate your time. For completing the survey, you will receive $2.5 on Prolific. 



Taking part in research is completely voluntary. You are free to decline to take part or stop participating in the project at any time. Whether or not you choose to take part or stop, there will be no penalty to you or loss of benefits to which you are otherwise entitled.

Questions

If you have any questions, please feel free to contact the investigator at jasbi@ucdavis.edu.

By clicking on the button below you consent to the above and agree to participate in this research study.",Control_noanimals_1,Control_oneanimal_2,Control_twoanimals_3,NOT_cat_and_bird,Control_twoanimals_4,not_or_ed_001,Control_onlycat_5,NOT_dog_and_cat,Control_twoanimals_6,not_and_ed_003,Control_hascatdog_7,not_or_cb_002,Control_onlycat_9,not_or_cb_102,not_or_cd_003,not_or_ed_101,not_and_cb_101,not_or_cd_103,Control_twoanimals_1,not_and_ed_103,Control_noanimals_10,not_and_dc_102
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID46""}","{""ImportId"":""QID21""}","{""ImportId"":""QID45""}","{""ImportId"":""QID10""}","{""ImportId"":""QID42""}","{""ImportId"":""QID20""}","{""ImportId"":""QID47""}","{""ImportId"":""QID22""}","{""ImportId"":""QID39""}","{""ImportId"":""QID9""}","{""ImportId"":""QID48""}","{""ImportId"":""QID15""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16""}","{""ImportId"":""QID27""}","{""ImportId"":""QID14""}","{""ImportId"":""QID44""}","{""ImportId"":""QID28""}","{""ImportId"":""QID43""}","{""ImportId"":""QID26""}"
2025-04-09 09:12:17,2025-04-09 09:16:58,0,100,280,1,2025-04-09 09:16:59,R_61aLVTtPj1cT87x,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,"1,2,3"
2025-04-09 09:18:09,2025-04-09 09:21:31,0,100,202,1,2025-04-09 09:21:32,R_1xZ6pgaO6CrkCSl,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,2,3,3
2025-04-09 09:21:28,2025-04-09 09:26:01,0,100,272,1,2025-04-09 09:26:01,R_5SmAczEnQwFrYuB,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-09 09:23:33,2025-04-09 09:28:59,0,100,325,1,2025-04-09 09:29:00,R_1daHfarEaomW59j,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-09 09:27:33,2025-04-09 09:34:32,0,100,419,1,2025-04-09 09:34:33,R_5dhG1TsrP4739pa,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-09 09:31:47,2025-04-09 09:35:30,0,100,222,1,2025-04-09 09:35:31,R_1RPwg3JOLQsP4RU,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-09 09:33:22,2025-04-09 09:37:15,0,100,232,1,2025-04-09 09:37:16,R_7rO40Fj3gkXjMdB,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,"1,2",3,2,3,3,3,3,3,4,3,3,3
2025-04-09 10:02:33,2025-04-09 10:06:59,0,100,265,1,2025-04-09 10:06:59,R_6o5dFLMm1i7427W,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
