StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Intro,Control_noanimals_1,Control_oneanimal_2,Control_twoanimals_3,not_and_cb_001,Control_twoanimals_4,not_or_ed_001,Control_onlycat_5,not_and_dc_002,Control_twoanimals_6,not_and_ed_003,Control_hascatdog_7,not_or_cb_002,Control_onlycat_9,not_or_cb_102,not_or_cd_003,not_or_ed_101,not_and_cb_101,not_or_cd_103,Control_twoanimals_1,not_and_ed_103,Control_noanimals_10,not_and_dc_102
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Tájékoztató:

A kutatás címe

 

Nyelvi megértés, szövegértés és tanulás felnőtteknél

Kutató

Masoud Jasbi, Ph.D.
A nyelvészet adjunktusa, UC Davis
 

Bevezetés és cél

Szeretnénk felkérni Önt, hogy vegyen részt egy kutatásban, amely a nyelvi megértést és szövegértést vizsgálja felnőtteknél.

Amennyiben úgy dönt, hogy részt vesz, a következő feladatokban fog részt venni:


	
	képeket vagy videókat néz meg,
	
	
	illetve szövegeket olvas vagy hallgat meg,
	ezután több helyes választ megengedő kérdésekre fog válaszolni.
	


A kutatás célja a felnőtt tanulás és nyelvi feldolgozás jobb megértése.



 

Adatvédelem

Nem gyűjtünk semmilyen, Önt személyesen azonosító adatot, és semmilyen módon nem kapcsoljuk össze a válaszait az Ön személyével.

Az adatokat anonim módon, egy online platformon tároljuk. A tudományos nyitottság és átláthatóság érdekében ezeket az adatokat más kutatókkal is megosztjuk.



 

Kockázatok és előnyök

A kutatáshoz nem kapcsolódnak jelentős kockázatok vagy kézzelfogható előnyök.

Részvétele azonban hozzájárulhat a tudományos ismeretek bővítéséhez a nyelv és tanulás területén.



 

Juttatás

Köszönjük, hogy időt szán kérdőívünk kitöltésére!

A kérdőív teljesítéséért 1.25 USD-t kap a Prolific platformon keresztül.

Önkéntesség

A részvétel teljes mértékben önkéntes. Bármikor dönthet úgy, hogy:


	
	nem vesz részt a kutatásban, vagy
	
	
	megszakítja a részvételét.
	


Ebben az esetben Önt semmilyen hátrány nem éri.



 

Kapcsolat

Ha bármilyen kérdése merül fel, kérjük, forduljon bizalommal a kutatóhoz:
📧 jasbi@ucdavis.edu



 

Részvételi beleegyezés

A lenti gombra kattintva Ön kijelenti, hogy:


	
	elolvasta és megértette a fenti tájékoztatást, és
	
	
	önkéntesen beleegyezik a kutatásban való részvételbe.",Control_noanimals_1,Control_oneanimal_2,Control_twoanimals_3,NOT_cat_and_bird,Control_twoanimals_4,not_or_ed_001,Control_onlycat_5,NOT_dog_and_cat,Control_twoanimals_6,not_and_ed_003,Control_hascatdog_7,not_or_cb_002,Control_onlycat_9,not_or_cb_102,not_or_cd_003,not_or_ed_101,not_and_cb_101,not_or_cd_103,Control_twoanimals_1,not_and_ed_103,Control_noanimals_10,not_and_dc_102
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID46""}","{""ImportId"":""QID21""}","{""ImportId"":""QID45""}","{""ImportId"":""QID10""}","{""ImportId"":""QID42""}","{""ImportId"":""QID20""}","{""ImportId"":""QID47""}","{""ImportId"":""QID22""}","{""ImportId"":""QID39""}","{""ImportId"":""QID9""}","{""ImportId"":""QID48""}","{""ImportId"":""QID15""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16""}","{""ImportId"":""QID27""}","{""ImportId"":""QID14""}","{""ImportId"":""QID44""}","{""ImportId"":""QID28""}","{""ImportId"":""QID43""}","{""ImportId"":""QID26""}"
2025-05-08 20:14:17,2025-05-08 20:16:30,1,100,132,1,2025-05-08 20:16:31,R_3jypC5zKBwmUp1f,preview,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,,4,,,
2025-05-08 20:37:39,2025-05-08 20:42:11,0,100,271,1,2025-05-08 20:42:11,R_3rv9frRrx2rAQLH,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-08 22:50:24,2025-05-08 22:55:09,0,100,285,1,2025-05-08 22:55:10,R_8r0VyWgHhTuCiTy,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,"1,2",3,"1,2,3","1,2,3","1,2,3",4,"1,2,3",3,"1,2,3"
2025-05-08 22:55:52,2025-05-08 22:59:49,0,100,236,1,2025-05-08 22:59:49,R_8PhV3Nn3G0NQ12y,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-08 22:59:47,2025-05-08 23:03:05,0,100,198,1,2025-05-08 23:03:06,R_3Jf78X65eCrskU1,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-08 23:01:40,2025-05-08 23:04:14,0,100,153,1,2025-05-08 23:04:15,R_8lzQSa6Jvtnw4YE,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-05-08 22:59:16,2025-05-08 23:05:07,0,100,350,1,2025-05-08 23:05:07,R_2rp6JZMqWaVklEo,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-05-08 23:03:09,2025-05-08 23:07:30,0,100,261,1,2025-05-08 23:07:31,R_2gcgJrwplmAeKRU,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-08 23:45:42,2025-05-08 23:49:10,0,100,208,1,2025-05-08 23:49:11,R_7pzcebdRwthZ2u9,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-08 23:44:39,2025-05-08 23:56:45,0,100,725,1,2025-05-08 23:56:45,R_8imUim5uwjgIKDb,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,4,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 00:30:41,2025-05-09 00:34:42,0,100,241,1,2025-05-09 00:34:43,R_88Oi0uMzQSTiIDn,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 07:56:07,2025-05-09 07:59:04,0,100,176,1,2025-05-09 07:59:04,R_20eL2uCiIrJVMFv,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 07:56:29,2025-05-09 07:59:40,0,100,191,1,2025-05-09 07:59:41,R_30mXK5oBRsn4jYJ,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 07:56:19,2025-05-09 07:59:54,0,100,215,1,2025-05-09 07:59:55,R_2PAyOi11Jmp7KMV,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,"1,2,3",4,3,"2,4",3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 07:56:06,2025-05-09 08:00:15,0,100,248,1,2025-05-09 08:00:15,R_2Kv9fac9EftO7rx,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 07:57:03,2025-05-09 08:01:12,0,100,249,1,2025-05-09 08:01:13,R_23gwsVQjIfsw8As,anonymous,EN,2,3,"1,2",4,"1,2",4,3,2,"1,2",4,"1,2",4,3,2,3,3,3,"1,2",3,4,"1,2",3,3
2025-05-09 07:57:16,2025-05-09 08:02:07,0,100,291,1,2025-05-09 08:02:08,R_8YE8nsUHTduv3oO,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:00:12,2025-05-09 08:03:58,0,100,225,1,2025-05-09 08:03:59,R_8CHoZqVKZRPKJCc,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,"1,2,3",3,3
2025-05-09 08:02:05,2025-05-09 08:04:48,0,100,162,1,2025-05-09 08:04:48,R_2PE8qZ7SuasftPX,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-05-09 08:01:51,2025-05-09 08:04:56,0,100,185,1,2025-05-09 08:04:56,R_8o0YcX0CcRqwK1Z,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:04:12,2025-05-09 08:07:47,0,100,215,1,2025-05-09 08:07:47,R_8QFjEfrJXO0aSGR,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:01:15,2025-05-09 08:10:42,0,100,566,1,2025-05-09 08:10:42,R_20uXATnasWZhaXn,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,"1,2","1,2,3",3,3,3,4,"1,2,3",3,3
2025-05-09 08:09:40,2025-05-09 08:13:21,0,100,221,1,2025-05-09 08:13:22,R_84xa6p7gb4a7JpA,anonymous,EN,2,3,"1,2",4,3,4,"1,2,3",2,3,4,"1,2,3",4,"1,2,3",2,"3,4",3,3,"1,2",3,4,"1,2,3",3,"1,2"
2025-05-09 07:57:03,2025-05-09 08:23:42,0,100,1598,1,2025-05-09 08:23:42,R_8whf7RUi0jGz2KZ,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2"
2025-05-09 08:23:12,2025-05-09 08:27:30,0,100,257,1,2025-05-09 08:27:31,R_85vwPWueXX5lc2k,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:34:58,2025-05-09 08:38:14,0,100,195,1,2025-05-09 08:38:14,R_2fdWQanX1pl1b4n,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,"1,2,3",3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:47:49,2025-05-09 08:50:53,0,100,183,1,2025-05-09 08:50:53,R_8ezYVAzp64I4rIV,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,4,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:52:12,2025-05-09 08:55:12,0,100,180,1,2025-05-09 08:55:13,R_8lhqK7d1iKwmCnD,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:52:01,2025-05-09 08:58:55,0,100,414,1,2025-05-09 08:58:56,R_88lht4oeb59iqt3,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 08:55:00,2025-05-09 08:59:07,0,100,247,1,2025-05-09 08:59:08,R_8NU2JEGbHBi930Q,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 09:02:55,2025-05-09 09:06:09,0,100,193,1,2025-05-09 09:06:10,R_2KGBgVgLsm0N18o,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-05-09 09:25:38,2025-05-09 09:28:57,0,100,198,1,2025-05-09 09:28:57,R_8ikwkjYy1byvVPD,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,"1,2,3",3,"1,2,3"
2025-05-09 09:34:43,2025-05-09 09:38:30,0,100,226,1,2025-05-09 09:38:30,R_2Hvij4XhanxU8nX,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 09:37:22,2025-05-09 09:41:34,0,100,251,1,2025-05-09 09:41:34,R_8F20dS76Lo1wVbP,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-05-09 09:52:30,2025-05-09 09:56:58,0,100,267,1,2025-05-09 09:56:58,R_2hyl0d27Ev31kiX,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-05-09 09:54:17,2025-05-09 09:58:58,0,100,280,1,2025-05-09 09:58:58,R_8BsKvukZ1zdhGeZ,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-05-09 09:54:27,2025-05-09 10:01:39,0,100,432,1,2025-05-09 10:01:40,R_2erglBCyQFxUbPa,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,"1,2,3",3,"1,2,3",3,"1,2,3",4,3,3,"1,2,3"
