StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Intro,Control_noanimals_1,Control_oneanimal_2,Control_twoanimals_3,not_and_cb_001,Control_twoanimals_4,not_or_ed_001,Control_onlycat_5,not_and_dc_002,Control_twoanimals_6,not_and_ed_003,Control_hascatdog_7,not_or_cb_002,Control_onlycat_9,not_or_cb_102,not_or_cd_003,not_or_ed_101,not_and_cb_101,not_or_cd_103,Control_twoanimals_1,not_and_ed_103,Control_noanimals_10,not_and_dc_102
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Tájékoztató:

A kutatás címe

 

Nyelvi megértés, szövegértés és tanulás felnőtteknél

Kutató

Masoud Jasbi, Ph.D.
A nyelvészet adjunktusa, UC Davis
 

Bevezetés és cél

Szeretnénk felkérni Önt, hogy vegyen részt egy kutatásban, amely a nyelvi megértést és szövegértést vizsgálja felnőtteknél.

Amennyiben úgy dönt, hogy részt vesz, a következő feladatokban fog részt venni:


	
	képeket vagy videókat néz meg,
	
	
	illetve szövegeket olvas vagy hallgat meg,
	ezután több helyes választ megengedő kérdésekre fog válaszolni.
	


A kutatás célja a felnőtt tanulás és nyelvi feldolgozás jobb megértése.



 

Adatvédelem

Nem gyűjtünk semmilyen, Önt személyesen azonosító adatot, és semmilyen módon nem kapcsoljuk össze a válaszait az Ön személyével.

Az adatokat anonim módon, egy online platformon tároljuk. A tudományos nyitottság és átláthatóság érdekében ezeket az adatokat más kutatókkal is megosztjuk.



 

Kockázatok és előnyök

A kutatáshoz nem kapcsolódnak jelentős kockázatok vagy kézzelfogható előnyök.

Részvétele azonban hozzájárulhat a tudományos ismeretek bővítéséhez a nyelv és tanulás területén.



 

Juttatás

Köszönjük, hogy időt szán kérdőívünk kitöltésére!

A kérdőív teljesítéséért 1.75 USD-t kap a Prolific platformon keresztül.

Önkéntesség

A részvétel teljes mértékben önkéntes. Bármikor dönthet úgy, hogy:


	
	nem vesz részt a kutatásban, vagy
	
	
	megszakítja a részvételét.
	


Ebben az esetben Önt semmilyen hátrány nem éri.



 

Kapcsolat

Ha bármilyen kérdése merül fel, kérjük, forduljon bizalommal a kutatóhoz:
📧 jasbi@ucdavis.edu



 

Részvételi beleegyezés

A lenti gombra kattintva Ön kijelenti, hogy:


	
	elolvasta és megértette a fenti tájékoztatást, és
	
	
	önkéntesen beleegyezik a kutatásban való részvételbe.",Control_noanimals_1,Control_oneanimal_2,Control_twoanimals_3,NOT_cat_and_bird,Control_twoanimals_4,not_or_ed_001,Control_onlycat_5,NOT_dog_and_cat,Control_twoanimals_6,not_and_ed_003,Control_hascatdog_7,not_or_cb_002,Control_onlycat_9,not_or_cb_102,not_or_cd_003,not_or_ed_101,not_and_cb_101,not_or_cd_103,Control_twoanimals_1,not_and_ed_103,Control_noanimals_10,not_and_dc_102
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID46""}","{""ImportId"":""QID21""}","{""ImportId"":""QID45""}","{""ImportId"":""QID10""}","{""ImportId"":""QID42""}","{""ImportId"":""QID20""}","{""ImportId"":""QID47""}","{""ImportId"":""QID22""}","{""ImportId"":""QID39""}","{""ImportId"":""QID9""}","{""ImportId"":""QID48""}","{""ImportId"":""QID15""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16""}","{""ImportId"":""QID27""}","{""ImportId"":""QID14""}","{""ImportId"":""QID44""}","{""ImportId"":""QID28""}","{""ImportId"":""QID43""}","{""ImportId"":""QID26""}"
2025-04-17 17:41:12,2025-04-17 17:43:45,1,100,152,1,2025-04-17 17:43:45,R_3kbKAEtgIDtGJkw,preview,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,"3,4",,,,,,
2025-04-27 13:41:44,2025-04-27 13:44:25,0,100,161,1,2025-04-27 13:44:26,R_7Tz7i4dFFAkpeXP,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-27 13:40:11,2025-04-27 13:44:54,0,100,283,1,2025-04-27 13:44:54,R_5aFdegDN2q9tihQ,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,3,3,"1,2,3"
2025-04-27 13:40:27,2025-04-27 13:44:54,0,100,267,1,2025-04-27 13:44:55,R_5Fqw2dfbLaq6DN7,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,3,3,4,"1,2,3",3,3
2025-04-27 13:39:58,2025-04-27 13:45:08,0,100,310,1,2025-04-27 13:45:09,R_5w1cbqE2ACIeSRm,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 13:42:28,2025-04-27 13:49:24,0,100,416,1,2025-04-27 13:49:24,R_6UWsOjaCE5hDzCP,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 13:46:55,2025-04-27 13:50:49,0,100,233,1,2025-04-27 13:50:49,R_70vPtOvoIs3gogx,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,"1,2,3"
2025-04-27 13:47:49,2025-04-27 13:53:08,0,100,318,1,2025-04-27 13:53:08,R_5cpba9m1Uho4gmZ,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,3,3,4,"1,2,3",3,"1,2,3"
2025-04-27 13:56:54,2025-04-27 14:01:03,0,100,249,1,2025-04-27 14:01:03,R_1tqZrwBvxxThu61,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-27 13:54:36,2025-04-27 14:01:03,0,100,386,1,2025-04-27 14:01:04,R_3hCUAUJqFx16rSh,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 14:21:04,2025-04-27 14:26:49,0,100,344,1,2025-04-27 14:26:49,R_738ZJaqs1729qox,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-27 14:45:02,2025-04-27 14:48:17,0,100,194,1,2025-04-27 14:48:17,R_3KZ1SavjyHRbbjP,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-27 14:45:39,2025-04-27 14:49:18,0,100,218,1,2025-04-27 14:49:18,R_3qsqnuXJ6b2HfsP,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2",4,"1,2",4,3,2,3,3,"3,4","1,2,3","3,4",4,"1,2,3",3,"1,2,3"
2025-04-27 14:45:58,2025-04-27 14:50:22,0,100,264,1,2025-04-27 14:50:23,R_5uJPrcfxEGnz2C5,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 14:46:41,2025-04-27 14:50:54,0,100,252,1,2025-04-27 14:50:54,R_3s0VYbowU8ATTbl,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-27 14:46:18,2025-04-27 14:51:00,0,100,281,1,2025-04-27 14:51:00,R_6fpXLqdJnuL5jZT,anonymous,EN,2,3,"1,2",4,"1,2,3",4,"1,2,3",2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 14:47:40,2025-04-27 14:51:38,0,100,237,1,2025-04-27 14:51:38,R_59iCamIhq6s2iYF,anonymous,EN,2,3,"1,2",4,3,4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,3,3,4,3,3,3
2025-04-27 14:46:17,2025-04-27 14:53:04,0,100,407,1,2025-04-27 14:53:05,R_6nNLT5szpQNs5dT,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,"3,4","1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 14:48:56,2025-04-27 14:53:05,0,100,248,1,2025-04-27 14:53:06,R_18Hcl63BgHxyRI3,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 14:46:39,2025-04-27 14:54:25,0,100,466,1,2025-04-27 14:54:26,R_1uCD49oGmhk7Ths,anonymous,EN,2,3,"1,2",4,"1,2,3",4,3,2,3,4,3,4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
2025-04-27 14:48:22,2025-04-27 14:54:42,0,100,380,1,2025-04-27 14:54:42,R_71qeNM7h5xQlWH7,anonymous,EN,2,3,"1,2",4,3,4,3,2,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3
2025-04-27 14:52:34,2025-04-27 14:55:43,0,100,189,1,2025-04-27 14:55:44,R_5UEqECzKq8Drddv,anonymous,EN,2,3,"1,2",4,"1,2",4,3,2,"1,2,3",4,"1,2,3",4,3,2,3,3,3,"1,2,3",3,4,"1,2,3",3,"1,2,3"
