Duration..in.seconds.,ResponseId,UserLanguage,Intro,animals,stress_number,response,not_conjunction,group_combined
161,R_7Tz7i4dFFAkpeXP,EN,2,cb,001,no animal,not_and,NOT_and
283,R_5aFdegDN2q9tihQ,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
267,R_5Fqw2dfbLaq6DN7,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
310,R_5w1cbqE2ACIeSRm,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
416,R_6UWsOjaCE5hDzCP,EN,2,cb,001,no animal,not_and,NOT_and
233,R_70vPtOvoIs3gogx,EN,2,cb,001,no animal,not_and,NOT_and
318,R_5cpba9m1Uho4gmZ,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
249,R_1tqZrwBvxxThu61,EN,2,cb,001,no animal,not_and,NOT_and
386,R_3hCUAUJqFx16rSh,EN,2,cb,001,no animal,not_and,NOT_and
344,R_738ZJaqs1729qox,EN,2,cb,001,no animal,not_and,NOT_and
194,R_3KZ1SavjyHRbbjP,EN,2,cb,001,no animal,not_and,NOT_and
218,R_3qsqnuXJ6b2HfsP,EN,2,cb,001,no animal,not_and,NOT_and
264,R_5uJPrcfxEGnz2C5,EN,2,cb,001,no animal,not_and,NOT_and
252,R_3s0VYbowU8ATTbl,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
281,R_6fpXLqdJnuL5jZT,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
237,R_59iCamIhq6s2iYF,EN,2,cb,001,no animal,not_and,NOT_and
407,R_6nNLT5szpQNs5dT,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
248,R_18Hcl63BgHxyRI3,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
466,R_1uCD49oGmhk7Ths,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
380,R_71qeNM7h5xQlWH7,EN,2,cb,001,no animal,not_and,NOT_and
189,R_5UEqECzKq8Drddv,EN,2,cb,001,"animal 1, animal 2",not_and,NOT_and
413,R_77dsUZz8bCpdSu0,EN,2,cb,001,no animal,not_and,NOT_and
274,R_5NgqfhhYog0gAyW,EN,2,cb,001,no animal,not_and,NOT_and
231,R_6QKrYtej36cGA8x,EN,2,cb,001,no animal,not_and,NOT_and
185,R_1qaexFVB8eoaBuF,EN,2,cb,001,no animal,not_and,NOT_and
443,R_3eDDOZ9fYGu2Ldo,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
173,R_7GVoq95bOLuCif6,EN,2,cb,001,no animal,not_and,NOT_and
160,R_6FKYNwbtqjDq3z2,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
195,R_3g0cHPEb0iTQnix,EN,2,cb,001,no animal,not_and,NOT_and
278,R_3EGdSLkwy1J739P,EN,2,cb,001,no animal,not_and,NOT_and
206,R_3TmKxB9lyG9cNU0,EN,2,cb,001,no animal,not_and,NOT_and
253,R_5fGM1p7FCPJ4kIt,EN,2,cb,001,no animal,not_and,NOT_and
239,R_8XhUIxpHKeMgFST,EN,2,cb,001,no animal,not_and,NOT_and
177,R_2qwJEZkK4BSDoUD,EN,2,cb,001,no animal,not_and,NOT_and
239,R_8KJhF9Td1YDOLjF,EN,2,cb,001,no animal,not_and,NOT_and
450,R_89ZcYjXalz3z0DD,EN,2,cb,001,no animal,not_and,NOT_and
363,R_2m7SdeHZfnqMyQw,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
195,R_346lMDo7Q1W9Zkd,EN,2,cb,001,no animal,not_and,NOT_and
277,R_8X66YscKqlQRNxa,EN,2,cb,001,no animal,not_and,NOT_and
259,R_8e9UK73U5igLtEZ,EN,2,cb,001,no animal,not_and,NOT_and
187,R_2wyJYa0HbWmpabA,EN,2,cb,001,no animal,not_and,NOT_and
275,R_8OiuFySI1hjFVit,EN,2,cb,001,no animal,not_and,NOT_and
298,R_2pJOVArPxdW5H8V,EN,2,cb,001,"animal 1, animal 2, no animal",not_and,NOT_and
