Duration (in seconds),ResponseId,UserLanguage,Intro,question,response
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_noanimals_1,3
283,R_5aFdegDN2q9tihQ,EN,2,Control_noanimals_1,3
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_noanimals_1,3
310,R_5w1cbqE2ACIeSRm,EN,2,Control_noanimals_1,3
416,R_6UWsOjaCE5hDzCP,EN,2,Control_noanimals_1,3
233,R_70vPtOvoIs3gogx,EN,2,Control_noanimals_1,3
318,R_5cpba9m1Uho4gmZ,EN,2,Control_noanimals_1,3
249,R_1tqZrwBvxxThu61,EN,2,Control_noanimals_1,3
386,R_3hCUAUJqFx16rSh,EN,2,Control_noanimals_1,3
344,R_738ZJaqs1729qox,EN,2,Control_noanimals_1,3
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_oneanimal_2,"1,2"
283,R_5aFdegDN2q9tihQ,EN,2,Control_oneanimal_2,"1,2"
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_oneanimal_2,"1,2"
310,R_5w1cbqE2ACIeSRm,EN,2,Control_oneanimal_2,"1,2"
416,R_6UWsOjaCE5hDzCP,EN,2,Control_oneanimal_2,"1,2"
233,R_70vPtOvoIs3gogx,EN,2,Control_oneanimal_2,"1,2"
318,R_5cpba9m1Uho4gmZ,EN,2,Control_oneanimal_2,"1,2"
249,R_1tqZrwBvxxThu61,EN,2,Control_oneanimal_2,"1,2"
386,R_3hCUAUJqFx16rSh,EN,2,Control_oneanimal_2,"1,2"
344,R_738ZJaqs1729qox,EN,2,Control_oneanimal_2,"1,2"
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_twoanimals_3,4
283,R_5aFdegDN2q9tihQ,EN,2,Control_twoanimals_3,4
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_twoanimals_3,4
310,R_5w1cbqE2ACIeSRm,EN,2,Control_twoanimals_3,4
416,R_6UWsOjaCE5hDzCP,EN,2,Control_twoanimals_3,4
233,R_70vPtOvoIs3gogx,EN,2,Control_twoanimals_3,4
318,R_5cpba9m1Uho4gmZ,EN,2,Control_twoanimals_3,4
249,R_1tqZrwBvxxThu61,EN,2,Control_twoanimals_3,4
386,R_3hCUAUJqFx16rSh,EN,2,Control_twoanimals_3,4
344,R_738ZJaqs1729qox,EN,2,Control_twoanimals_3,4
161,R_7Tz7i4dFFAkpeXP,EN,2,not_and_cb_001,3
283,R_5aFdegDN2q9tihQ,EN,2,not_and_cb_001,"1,2,3"
267,R_5Fqw2dfbLaq6DN7,EN,2,not_and_cb_001,"1,2,3"
310,R_5w1cbqE2ACIeSRm,EN,2,not_and_cb_001,"1,2,3"
416,R_6UWsOjaCE5hDzCP,EN,2,not_and_cb_001,3
233,R_70vPtOvoIs3gogx,EN,2,not_and_cb_001,3
318,R_5cpba9m1Uho4gmZ,EN,2,not_and_cb_001,"1,2,3"
249,R_1tqZrwBvxxThu61,EN,2,not_and_cb_001,3
386,R_3hCUAUJqFx16rSh,EN,2,not_and_cb_001,3
344,R_738ZJaqs1729qox,EN,2,not_and_cb_001,3
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_twoanimals_4,4
283,R_5aFdegDN2q9tihQ,EN,2,Control_twoanimals_4,4
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_twoanimals_4,4
310,R_5w1cbqE2ACIeSRm,EN,2,Control_twoanimals_4,4
416,R_6UWsOjaCE5hDzCP,EN,2,Control_twoanimals_4,4
233,R_70vPtOvoIs3gogx,EN,2,Control_twoanimals_4,4
318,R_5cpba9m1Uho4gmZ,EN,2,Control_twoanimals_4,4
249,R_1tqZrwBvxxThu61,EN,2,Control_twoanimals_4,4
386,R_3hCUAUJqFx16rSh,EN,2,Control_twoanimals_4,4
344,R_738ZJaqs1729qox,EN,2,Control_twoanimals_4,4
161,R_7Tz7i4dFFAkpeXP,EN,2,not_or_ed_001,3
283,R_5aFdegDN2q9tihQ,EN,2,not_or_ed_001,3
267,R_5Fqw2dfbLaq6DN7,EN,2,not_or_ed_001,3
310,R_5w1cbqE2ACIeSRm,EN,2,not_or_ed_001,3
416,R_6UWsOjaCE5hDzCP,EN,2,not_or_ed_001,3
233,R_70vPtOvoIs3gogx,EN,2,not_or_ed_001,3
318,R_5cpba9m1Uho4gmZ,EN,2,not_or_ed_001,3
249,R_1tqZrwBvxxThu61,EN,2,not_or_ed_001,3
386,R_3hCUAUJqFx16rSh,EN,2,not_or_ed_001,3
344,R_738ZJaqs1729qox,EN,2,not_or_ed_001,3
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_onlycat_5,2
283,R_5aFdegDN2q9tihQ,EN,2,Control_onlycat_5,2
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_onlycat_5,2
310,R_5w1cbqE2ACIeSRm,EN,2,Control_onlycat_5,2
416,R_6UWsOjaCE5hDzCP,EN,2,Control_onlycat_5,2
233,R_70vPtOvoIs3gogx,EN,2,Control_onlycat_5,2
318,R_5cpba9m1Uho4gmZ,EN,2,Control_onlycat_5,2
249,R_1tqZrwBvxxThu61,EN,2,Control_onlycat_5,2
386,R_3hCUAUJqFx16rSh,EN,2,Control_onlycat_5,2
344,R_738ZJaqs1729qox,EN,2,Control_onlycat_5,2
161,R_7Tz7i4dFFAkpeXP,EN,2,not_and_dc_002,3
283,R_5aFdegDN2q9tihQ,EN,2,not_and_dc_002,"1,2,3"
267,R_5Fqw2dfbLaq6DN7,EN,2,not_and_dc_002,"1,2,3"
310,R_5w1cbqE2ACIeSRm,EN,2,not_and_dc_002,"1,2,3"
416,R_6UWsOjaCE5hDzCP,EN,2,not_and_dc_002,"1,2,3"
233,R_70vPtOvoIs3gogx,EN,2,not_and_dc_002,3
318,R_5cpba9m1Uho4gmZ,EN,2,not_and_dc_002,"1,2,3"
249,R_1tqZrwBvxxThu61,EN,2,not_and_dc_002,3
386,R_3hCUAUJqFx16rSh,EN,2,not_and_dc_002,"1,2,3"
344,R_738ZJaqs1729qox,EN,2,not_and_dc_002,3
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_twoanimals_6,4
283,R_5aFdegDN2q9tihQ,EN,2,Control_twoanimals_6,4
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_twoanimals_6,4
310,R_5w1cbqE2ACIeSRm,EN,2,Control_twoanimals_6,4
416,R_6UWsOjaCE5hDzCP,EN,2,Control_twoanimals_6,4
233,R_70vPtOvoIs3gogx,EN,2,Control_twoanimals_6,4
318,R_5cpba9m1Uho4gmZ,EN,2,Control_twoanimals_6,4
249,R_1tqZrwBvxxThu61,EN,2,Control_twoanimals_6,4
386,R_3hCUAUJqFx16rSh,EN,2,Control_twoanimals_6,4
344,R_738ZJaqs1729qox,EN,2,Control_twoanimals_6,4
161,R_7Tz7i4dFFAkpeXP,EN,2,not_and_ed_003,3
283,R_5aFdegDN2q9tihQ,EN,2,not_and_ed_003,"1,2,3"
267,R_5Fqw2dfbLaq6DN7,EN,2,not_and_ed_003,"1,2,3"
310,R_5w1cbqE2ACIeSRm,EN,2,not_and_ed_003,"1,2,3"
416,R_6UWsOjaCE5hDzCP,EN,2,not_and_ed_003,"1,2,3"
233,R_70vPtOvoIs3gogx,EN,2,not_and_ed_003,3
318,R_5cpba9m1Uho4gmZ,EN,2,not_and_ed_003,"1,2,3"
249,R_1tqZrwBvxxThu61,EN,2,not_and_ed_003,3
386,R_3hCUAUJqFx16rSh,EN,2,not_and_ed_003,"1,2,3"
344,R_738ZJaqs1729qox,EN,2,not_and_ed_003,3
161,R_7Tz7i4dFFAkpeXP,EN,2,Control_hascatdog_7,4
283,R_5aFdegDN2q9tihQ,EN,2,Control_hascatdog_7,4
267,R_5Fqw2dfbLaq6DN7,EN,2,Control_hascatdog_7,4
310,R_5w1cbqE2ACIeSRm,EN,2,Control_hascatdog_7,4
416,R_6UWsOjaCE5hDzCP,EN,2,Control_hascatdog_7,4
233,R_70vPtOvoIs3gogx,EN,2,Control_hascatdog_7,4
318,R_5cpba9m1Uho4gmZ,EN,2,Control_hascatdog_7,4
249,R_1tqZrwBvxxThu61,EN,2,Control_hascatdog_7,4
386,R_3hCUAUJqFx16rSh,EN,2,Control_hascatdog_7,4
344,R_738ZJaqs1729qox,EN,2,Control_hascatdog_7,4
161,R_7Tz7i4dFFAkpeXP,EN,2,not_or_cb_002,3
283,R_5aFdegDN2q9tihQ,EN,2,not_or_cb_002,3
