"Duration..in.seconds.","ResponseId","UserLanguage","Intro","question","response","question_number","question_group"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_no_animals_1","3",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_no_animals_1","3",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_no_animals_1","3",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_no_animals_1","3",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_no_animals_1","3",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_one_animal_1","1,2",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_one_animal_1","1,2",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_one_animal_1","1,2",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_one_animal_1","1,2",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_one_animal_1","1,2",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...21","4",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...21","4",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...21","4",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...21","4",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...21","4",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_two_animals...23","4",NA,"1_Control"
157,"R_73EKhxpL40LNZ94","EN",2,"Control_two_animals...23","4",NA,"1_Control"
176,"R_17EzhlQuFZ8uIFU","EN",2,"Control_two_animals...23","4",NA,"1_Control"
151,"R_3F8U45sZSaABavf","EN",2,"Control_two_animals...23","4",NA,"1_Control"
140,"R_5COxM0ncYsxiIC1","EN",2,"Control_two_animals...23","4",NA,"1_Control"
181,"R_1gBJtn3uei1isPp","EN",2,"Control_only_cat...25","2",NA,"1_Control"
